frame,x,y,is_predicted
12990,34.00,192.50,0
12993,32.50,184.50,0
12996,30.50,179.50,0
12999,29.50,178.00,0
13002,27.50,179.50,0
13005,26.50,181.50,0
13008,27.50,184.50,0
13011,29.00,188.50,0
13014,30.50,187.00,0
13017,31.50,180.50,0
13020,35.00,167.50,0
13023,36.50,157.50,0
13026,36.16,162.46,1
13029,39.00,140.50,0
13032,39.00,139.00,0
13035,39.00,139.00,0
13038,40.00,142.00,0
13041,40.00,146.00,0
13044,41.78,134.95,1
13047,55.00,95.50,0
13050,62.50,72.00,0
13053,70.50,51.50,0
13056,79.00,32.50,0
13059,87.00,15.00,0
13062,95.50,2.50,0
13065,100.31,-16.00,1
13068,107.82,-34.08,1
13071,115.33,-52.16,1
13074,122.83,-70.24,1
13077,130.34,-88.32,1
13080,137.85,-106.39,1
13083,170.50,8.00,0
13086,181.50,30.00,0
13089,197.50,60.50,0
13092,213.00,101.50,0
13095,231.50,154.00,0
13098,250.50,136.00,0
13101,269.50,85.00,0
13104,284.50,44.50,0
13107,299.00,13.00,0
13110,316.19,47.11,1
13113,333.03,37.05,1
13116,533.50,218.00,0
13119,526.25,182.88,1
13122,572.09,202.98,1
13125,617.93,223.08,1
13128,663.76,243.17,1
13131,379.50,10.50,0
13134,387.50,32.50,0
13137,393.00,58.00,0
13140,396.50,88.00,0
13143,401.50,120.50,0
13146,404.50,153.00,0
13149,402.50,147.50,0
13152,391.50,115.50,0
13155,380.50,89.00,0
13158,370.00,67.50,0
13161,360.50,50.50,0
13164,349.50,38.50,0
13167,339.00,31.00,0
13170,328.00,30.00,0
13173,317.50,32.50,0
13176,306.00,39.00,0
13179,294.00,52.00,0
13182,282.50,68.00,0
13185,270.50,89.00,0
13188,265.50,122.00,0
13191,271.00,158.00,0
13194,312.00,197.00,0
13197,272.50,199.00,0
13200,267.00,204.00,0
13203,315.50,197.00,0
13206,315.50,196.00,0
13209,315.50,196.00,0
13212,315.50,197.00,0
13215,316.00,197.00,0
13218,316.50,197.00,0
13221,318.00,197.00,0
13224,325.45,201.09,1
13227,328.71,201.01,1
13230,331.97,200.93,1
13233,323.50,198.00,0
13236,324.00,197.50,0
13239,326.54,197.17,1
13242,327.56,196.57,1
13245,328.59,195.98,1
13248,329.61,195.39,1
13251,330.64,194.80,1
13254,331.66,194.21,1
13257,254.50,178.00,0
13260,253.00,178.50,0
13263,254.00,185.00,0
13266,254.00,195.50,0
13269,256.50,206.50,0
13272,262.00,215.50,0
13275,266.00,231.00,0
13278,258.38,229.32,1
13281,258.77,237.31,1
13284,294.00,220.50,0
13287,301.50,218.50,0
13290,313.00,219.50,0
13293,316.63,224.86,1
13296,325.14,226.36,1
13299,333.64,227.87,1
13302,342.15,229.37,1
13305,336.50,200.50,0
13308,335.50,200.00,0
13311,335.50,199.50,0
13314,380.50,221.50,0
13317,385.50,216.00,0
13320,387.89,212.88,1
13323,398.61,214.17,1
13326,409.34,215.46,1
13329,433.50,200.00,0
13332,448.00,207.00,0
13335,464.50,232.50,0
13338,480.00,267.00,0
13341,488.00,249.50,0
13344,494.00,228.50,0
13347,499.00,213.00,0
13350,504.50,204.00,0
13353,510.00,201.00,0
13356,516.50,201.50,0
13359,523.50,207.50,0
13362,528.50,214.50,0
13365,536.50,217.50,0
13368,546.50,218.00,0
13371,561.50,214.00,0
13374,576.50,204.00,0
13377,589.00,198.00,0
13380,601.00,198.00,0
13383,617.50,204.00,0
13386,634.00,221.00,0
13389,333.50,200.00,0
13392,333.50,199.50,0
13395,333.50,199.00,0
13398,334.00,199.00,0
13401,333.50,200.00,0
13404,333.50,200.00,0
13407,331.00,200.50,0
13410,277.86,198.77,1
13413,258.21,198.34,1
13416,238.56,197.92,1
13419,218.91,197.49,1
13422,199.26,197.07,1
13425,179.62,196.64,1
13428,159.97,196.21,1
13431,140.32,195.79,1
13434,120.67,195.36,1
13437,101.02,194.94,1
13509,523.50,216.50,0
13512,523.50,216.50,1
13515,523.50,216.50,1
13518,523.50,216.50,1
13521,523.50,216.50,0
13524,523.50,216.50,1
13527,523.50,216.50,1
13530,523.50,216.50,1
13533,523.50,216.50,1
13536,523.50,216.50,1
13539,523.50,216.50,1
13542,523.50,216.50,1
13545,523.50,216.50,1
13548,523.50,216.50,1
13551,523.50,216.50,1
13689,578.50,196.00,0
13692,578.50,196.00,1
13695,557.50,194.50,0
13698,563.00,181.00,0
13701,556.87,183.11,1
13704,552.87,179.94,1
13707,548.88,176.77,1
13710,544.88,173.61,1
13713,540.88,170.44,1
13716,536.89,167.27,1
13719,532.89,164.10,1
13722,528.89,160.94,1
13725,524.90,157.77,1
13728,520.90,154.60,1
13740,511.50,62.00,0
13743,456.50,64.00,0
13746,412.00,67.00,0
13749,375.00,72.50,0
13752,343.00,83.00,0
13755,315.50,94.00,0
13758,291.50,108.00,0
13761,269.50,124.00,0
13764,235.43,125.14,1
13767,235.50,158.50,0
13770,221.00,176.50,0
13773,216.50,162.00,0
13776,217.00,139.50,0
13779,216.00,122.50,0
13782,215.50,107.00,0
13785,214.00,95.50,0
13788,214.00,86.50,0
13791,212.50,80.00,0
13794,210.50,76.50,0
13797,209.00,76.50,0
